LSTAT,RM,INDUS,TAX,NOX,PTRATIO,AGE,RAD,CRIM,MEDV
17.28,6.047,8.14,307.0,0.538,21.0,88.8,4.0,0.95577,14.8
12.8,6.495,8.14,307.0,0.538,21.0,94.4,4.0,0.77299,18.4
11.98,6.674,8.14,307.0,0.538,21.0,87.3,4.0,1.00245,21.0
22.6,5.713,8.14,307.0,0.538,21.0,94.1,4.0,1.13081,12.7
13.04,6.072,8.14,307.0,0.538,21.0,100.0,4.0,1.35472,14.5
27.71,5.95,8.14,307.0,0.538,21.0,82.0,4.0,1.38799,13.2
18.35,5.701,8.14,307.0,0.538,21.0,95.0,4.0,1.15172,13.1
20.34,6.096,8.14,307.0,0.538,21.0,96.9,4.0,1.61282,13.5
9.68,5.933,5.96,279.0,0.499,19.2,68.2,5.0,0.06417,18.9
11.41,5.841,5.96,279.0,0.499,19.2,61.4,5.0,0.09744,20.0
8.77,5.85,5.96,279.0,0.499,19.2,41.5,5.0,0.08014,21.0
10.13,5.966,5.96,279.0,0.499,19.2,30.2,5.0,0.17505,24.7
4.32,6.595,2.95,252.0,0.428,18.3,21.8,3.0,0.02763,30.8
1.98,7.024,2.95,252.0,0.428,18.3,15.8,3.0,0.03359,34.9
4.84,6.77,6.91,233.0,0.448,17.9,2.9,3.0,0.12744,26.6
5.81,6.169,6.91,233.0,0.448,17.9,6.6,3.0,0.1415,25.3
7.44,6.211,6.91,233.0,0.448,17.9,6.5,3.0,0.15936,24.7
9.55,6.069,6.91,233.0,0.448,17.9,40.0,3.0,0.12269,21.2
10.21,5.682,6.91,233.0,0.448,17.9,33.8,3.0,0.17142,19.3
14.15,5.786,6.91,233.0,0.448,17.9,33.3,3.0,0.18836,20.0
18.8,6.03,6.91,233.0,0.448,17.9,85.5,3.0,0.22927,16.6
30.81,5.399,6.91,233.0,0.448,17.9,95.3,3.0,0.25387,14.4
16.2,5.602,6.91,233.0,0.448,17.9,62.0,3.0,0.21977,19.4
13.45,5.963,5.64,243.0,0.439,16.8,45.7,4.0,0.08873,19.7
9.43,6.115,5.64,243.0,0.439,16.8,63.0,4.0,0.04337,20.5
5.28,6.511,5.64,243.0,0.439,16.8,21.1,4.0,0.0536,25.0
8.43,5.998,5.64,243.0,0.439,16.8,21.4,4.0,0.04981,23.4
14.8,5.888,4.0,469.0,0.41,21.1,47.6,3.0,0.0136,18.9
4.81,7.249,1.22,226.0,0.403,17.9,21.9,5.0,0.01311,35.4
5.77,6.383,0.74,313.0,0.41,17.3,35.7,2.0,0.02055,24.7
3.95,6.816,1.32,256.0,0.411,15.1,40.5,5.0,0.01432,31.6
6.86,6.145,5.13,284.0,0.453,19.7,29.2,8.0,0.15445,23.3
9.22,5.927,5.13,284.0,0.453,19.7,47.2,8.0,0.10328,19.6
13.15,5.741,5.13,284.0,0.453,19.7,66.2,8.0,0.14932,18.7
14.44,5.966,5.13,284.0,0.453,19.7,93.4,8.0,0.17171,16.0
6.73,6.456,5.13,284.0,0.453,19.7,67.8,8.0,0.11027,22.2
9.5,6.762,5.13,284.0,0.453,19.7,43.4,8.0,0.1265,25.0
8.05,7.104,1.38,216.0,0.4161,18.6,59.5,3.0,0.01951,33.0
4.67,6.29,3.37,337.0,0.398,16.1,17.8,4.0,0.03584,23.5
10.24,5.787,3.37,337.0,0.398,16.1,31.1,4.0,0.04379,19.4
8.1,5.878,6.07,345.0,0.409,18.9,21.4,4.0,0.05789,22.0
13.09,5.594,6.07,345.0,0.409,18.9,36.8,4.0,0.13554,17.4
8.79,5.885,6.07,345.0,0.409,18.9,33.0,4.0,0.12816,20.9
6.72,6.417,10.81,305.0,0.413,19.2,6.6,4.0,0.08826,24.2
9.88,5.961,10.81,305.0,0.413,19.2,17.5,4.0,0.15876,21.7
5.52,6.065,10.81,305.0,0.413,19.2,7.8,4.0,0.09164,22.8
7.54,6.245,10.81,305.0,0.413,19.2,6.2,4.0,0.19539,23.4
6.78,6.273,12.83,398.0,0.437,18.7,6.0,5.0,0.07896,24.1
8.94,6.286,12.83,398.0,0.437,18.7,45.0,5.0,0.09512,21.4
11.97,6.279,12.83,398.0,0.437,18.7,74.5,5.0,0.10153,20.0
10.27,6.14,12.83,398.0,0.437,18.7,45.8,5.0,0.08707,20.8
12.34,6.232,12.83,398.0,0.437,18.7,53.7,5.0,0.05646,21.2
9.1,5.874,12.83,398.0,0.437,18.7,36.6,5.0,0.08387,20.3
5.29,6.727,4.86,281.0,0.426,19.0,33.5,4.0,0.04113,28.0
7.22,6.619,4.86,281.0,0.426,19.0,70.4,4.0,0.04462,23.9
6.72,6.302,4.86,281.0,0.426,19.0,32.2,4.0,0.03659,24.8
7.51,6.167,4.86,281.0,0.426,19.0,46.7,4.0,0.03551,22.9
9.62,6.389,4.49,247.0,0.449,18.5,48.0,3.0,0.05059,23.9
6.53,6.63,4.49,247.0,0.449,18.5,56.1,3.0,0.05735,26.6
12.86,6.015,4.49,247.0,0.449,18.5,45.1,3.0,0.05188,22.5
8.44,6.121,4.49,247.0,0.449,18.5,56.8,3.0,0.07151,22.2
5.5,7.007,3.41,270.0,0.489,17.8,86.3,2.0,0.0566,23.6
5.7,7.079,3.41,270.0,0.489,17.8,63.1,2.0,0.05302,28.7
8.81,6.417,3.41,270.0,0.489,17.8,66.1,2.0,0.04684,22.6
8.2,6.405,3.41,270.0,0.489,17.8,73.9,2.0,0.03932,22.0
8.16,6.442,15.04,270.0,0.464,18.2,53.6,4.0,0.04203,22.9
6.21,6.211,15.04,270.0,0.464,18.2,28.9,4.0,0.02875,25.0
10.59,6.249,15.04,270.0,0.464,18.2,77.3,4.0,0.04294,20.6
6.65,6.625,2.89,276.0,0.445,18.0,57.8,2.0,0.12204,28.4
11.34,6.163,2.89,276.0,0.445,18.0,69.6,2.0,0.11504,21.4
4.21,8.069,2.89,276.0,0.445,18.0,76.0,2.0,0.12083,38.7
3.57,7.82,2.89,276.0,0.445,18.0,36.9,2.0,0.08187,43.8
6.19,7.416,2.89,276.0,0.445,18.0,62.5,2.0,0.0686,33.2
9.42,6.727,8.56,384.0,0.52,20.9,79.9,5.0,0.14866,27.5
7.67,6.781,8.56,384.0,0.52,20.9,71.3,5.0,0.11432,26.5
10.63,6.405,8.56,384.0,0.52,20.9,85.4,5.0,0.22876,18.6
13.44,6.137,8.56,384.0,0.52,20.9,87.4,5.0,0.21161,19.3
12.33,6.167,8.56,384.0,0.52,20.9,90.0,5.0,0.1396,20.1
16.47,5.851,8.56,384.0,0.52,20.9,96.7,5.0,0.13262,19.5
18.66,5.836,8.56,384.0,0.52,20.9,91.9,5.0,0.1712,19.5
14.09,6.127,8.56,384.0,0.52,20.9,85.2,5.0,0.13117,20.4
12.27,6.474,8.56,384.0,0.52,20.9,97.1,5.0,0.12802,19.8
15.55,6.229,8.56,384.0,0.52,20.9,91.2,5.0,0.26363,19.4
13.0,6.195,8.56,384.0,0.52,20.9,54.4,5.0,0.10793,21.7
10.16,6.715,10.01,432.0,0.547,17.8,81.6,6.0,0.10084,22.8
16.21,5.913,10.01,432.0,0.547,17.8,92.9,6.0,0.12329,18.8
17.09,6.092,10.01,432.0,0.547,17.8,95.4,6.0,0.22212,18.7
10.45,6.254,10.01,432.0,0.547,17.8,84.2,6.0,0.14231,18.5
15.76,5.928,10.01,432.0,0.547,17.8,88.2,6.0,0.17134,18.3
12.04,6.176,10.01,432.0,0.547,17.8,72.5,6.0,0.13158,21.2
10.3,6.021,10.01,432.0,0.547,17.8,82.6,6.0,0.15098,19.2
15.37,5.872,10.01,432.0,0.547,17.8,73.1,6.0,0.13058,20.4
13.61,5.731,10.01,432.0,0.547,17.8,65.2,6.0,0.14476,19.3
14.37,5.87,25.65,188.0,0.581,19.1,69.7,2.0,0.06899,22.0
14.27,6.004,25.65,188.0,0.581,19.1,84.1,2.0,0.07165,20.3
17.93,5.961,25.65,188.0,0.581,19.1,92.9,2.0,0.09299,20.5
25.41,5.856,25.65,188.0,0.581,19.1,97.0,2.0,0.15038,17.3
17.58,5.879,25.65,188.0,0.581,19.1,95.8,2.0,0.09849,18.8
14.81,5.986,25.65,188.0,0.581,19.1,88.4,2.0,0.16902,21.4
27.26,5.613,25.65,188.0,0.581,19.1,95.6,2.0,0.38735,15.7
17.19,5.693,21.89,437.0,0.624,21.2,96.0,4.0,0.25915,16.2
15.39,6.431,21.89,437.0,0.624,21.2,98.8,4.0,0.32543,18.0
18.34,5.637,21.89,437.0,0.624,21.2,94.7,4.0,0.88125,14.3
12.6,6.458,21.89,437.0,0.624,21.2,98.9,4.0,0.34006,19.2
12.26,6.326,21.89,437.0,0.624,21.2,97.7,4.0,1.19294,19.6
11.12,6.372,21.89,437.0,0.624,21.2,97.9,4.0,0.59005,23.0
15.03,5.822,21.89,437.0,0.624,21.2,95.4,4.0,0.32982,18.4
17.31,5.757,21.89,437.0,0.624,21.2,98.4,4.0,0.97617,15.6
16.96,6.335,21.89,437.0,0.624,21.2,98.2,4.0,0.55778,18.1
16.9,5.942,21.89,437.0,0.624,21.2,93.5,4.0,0.32264,17.4
14.59,6.454,21.89,437.0,0.624,21.2,98.4,4.0,0.35233,17.1
21.32,5.857,21.89,437.0,0.624,21.2,98.2,4.0,0.2498,13.3
18.46,6.151,21.89,437.0,0.624,21.2,97.9,4.0,0.54452,17.8
24.16,6.174,21.89,437.0,0.624,21.2,93.6,4.0,0.2909,14.0
34.41,5.019,21.89,437.0,0.624,21.2,100.0,4.0,1.62864,14.4
26.82,5.403,19.58,403.0,0.871,14.7,100.0,5.0,3.32105,13.4
26.42,5.468,19.58,403.0,0.871,14.7,100.0,5.0,4.0974,15.6
29.29,4.903,19.58,403.0,0.871,14.7,97.8,5.0,2.77974,11.8
27.8,6.13,19.58,403.0,0.871,14.7,100.0,5.0,2.37934,13.8
16.65,5.628,19.58,403.0,0.871,14.7,100.0,5.0,2.15505,15.6
29.53,4.926,19.58,403.0,0.871,14.7,95.7,5.0,2.36862,14.6
28.32,5.186,19.58,403.0,0.871,14.7,93.8,5.0,2.33099,17.8
21.45,5.597,19.58,403.0,0.871,14.7,94.9,5.0,2.73397,15.4
14.1,6.122,19.58,403.0,0.871,14.7,97.3,5.0,1.6566,21.5
13.28,5.404,19.58,403.0,0.871,14.7,100.0,5.0,1.49632,19.6
12.12,5.012,19.58,403.0,0.871,14.7,88.0,5.0,1.12658,15.3
15.79,5.709,19.58,403.0,0.871,14.7,98.5,5.0,2.14918,19.4
15.12,6.129,19.58,403.0,0.871,14.7,96.0,5.0,1.41385,17.0
15.02,6.152,19.58,403.0,0.871,14.7,82.6,5.0,3.53501,15.6
16.14,5.272,19.58,403.0,0.871,14.7,94.0,5.0,2.44668,13.1
4.59,6.943,19.58,403.0,0.605,14.7,97.4,5.0,1.22358,41.3
6.43,6.066,19.58,403.0,0.605,14.7,100.0,5.0,1.34284,24.3
7.39,6.51,19.58,403.0,0.871,14.7,100.0,5.0,1.42502,23.3
5.5,6.25,19.58,403.0,0.605,14.7,92.6,5.0,1.27346,27.0
11.64,5.854,19.58,403.0,0.605,14.7,91.8,5.0,2.24236,22.7
9.81,6.101,19.58,403.0,0.605,14.7,93.0,5.0,2.924,25.0
12.14,5.877,19.58,403.0,0.605,14.7,79.2,5.0,1.80028,23.8
11.1,6.319,19.58,403.0,0.605,14.7,96.1,5.0,2.3004,23.8
11.32,6.402,19.58,403.0,0.605,14.7,95.2,5.0,2.44953,22.3
14.43,5.875,19.58,403.0,0.605,14.7,94.6,5.0,1.20742,17.4
12.03,5.88,19.58,403.0,0.605,14.7,97.3,5.0,2.3139,19.1
14.69,5.572,4.05,296.0,0.51,16.6,88.5,5.0,0.13914,23.1
9.04,6.416,4.05,296.0,0.51,16.6,84.1,5.0,0.09178,23.6
9.64,5.859,4.05,296.0,0.51,16.6,68.7,5.0,0.08447,22.6
5.33,6.546,4.05,296.0,0.51,16.6,33.1,5.0,0.06664,29.4
10.11,6.02,4.05,296.0,0.51,16.6,47.2,5.0,0.07022,23.2
6.29,6.315,4.05,296.0,0.51,16.6,73.4,5.0,0.05425,24.6
6.92,6.86,4.05,296.0,0.51,16.6,74.4,5.0,0.06642,29.9
5.04,6.98,2.46,193.0,0.488,17.8,58.4,3.0,0.0578,37.2
7.56,7.765,2.46,193.0,0.488,17.8,83.3,3.0,0.06588,39.8
9.45,6.144,2.46,193.0,0.488,17.8,62.2,3.0,0.06888,36.2
4.82,7.155,2.46,193.0,0.488,17.8,92.2,3.0,0.09103,37.9
5.68,6.563,2.46,193.0,0.488,17.8,95.6,3.0,0.10008,32.5
13.98,5.604,2.46,193.0,0.488,17.8,89.8,3.0,0.08308,26.4
13.15,6.153,2.46,193.0,0.488,17.8,68.8,3.0,0.06047,29.6
6.68,6.782,3.44,398.0,0.437,15.2,41.1,5.0,0.07875,32.0
4.56,6.556,3.44,398.0,0.437,15.2,29.1,5.0,0.12579,29.8
5.39,7.185,3.44,398.0,0.437,15.2,38.9,5.0,0.0837,34.9
5.1,6.951,3.44,398.0,0.437,15.2,21.5,5.0,0.09068,37.0
4.69,6.739,3.44,398.0,0.437,15.2,30.8,5.0,0.06911,30.5
2.87,7.178,3.44,398.0,0.437,15.2,26.3,5.0,0.08664,36.4
5.03,6.8,2.93,265.0,0.401,15.6,9.9,1.0,0.02187,31.1
4.38,6.604,2.93,265.0,0.401,15.6,18.8,1.0,0.01439,29.1
4.08,7.287,1.52,329.0,0.404,12.6,34.1,2.0,0.04011,33.3
8.61,7.107,1.52,329.0,0.404,12.6,36.6,2.0,0.04666,30.3
6.62,7.274,1.52,329.0,0.404,12.6,38.3,2.0,0.03768,34.6
4.56,6.975,1.47,402.0,0.403,17.0,15.3,3.0,0.0315,34.9
4.45,7.135,1.47,402.0,0.403,17.0,13.9,3.0,0.01778,32.9
7.43,6.162,2.03,348.0,0.415,14.7,38.4,2.0,0.03445,24.1
3.11,7.61,2.03,348.0,0.415,14.7,15.7,2.0,0.02177,42.3
3.81,7.853,2.68,224.0,0.4161,14.7,33.2,4.0,0.0351,48.5
10.87,5.891,10.59,277.0,0.489,18.6,22.3,4.0,0.13642,22.6
10.97,6.326,10.59,277.0,0.489,18.6,52.5,4.0,0.22969,24.4
18.06,5.783,10.59,277.0,0.489,18.6,72.7,4.0,0.25199,22.5
14.66,6.064,10.59,277.0,0.489,18.6,59.1,4.0,0.13587,24.4
23.09,5.344,10.59,277.0,0.489,18.6,100.0,4.0,0.43571,20.0
17.27,5.96,10.59,277.0,0.489,18.6,92.1,4.0,0.17446,21.7
23.98,5.404,10.59,277.0,0.489,18.6,88.6,4.0,0.37578,19.3
16.03,5.807,10.59,277.0,0.489,18.6,53.8,4.0,0.21719,22.4
9.38,6.375,10.59,277.0,0.489,18.6,32.3,4.0,0.14052,28.1
29.55,5.412,10.59,277.0,0.489,18.6,9.8,4.0,0.28955,23.7
9.47,6.182,10.59,277.0,0.489,18.6,42.4,4.0,0.19802,25.0
13.51,5.888,13.89,276.0,0.55,16.4,56.0,5.0,0.0456,23.3
9.69,6.642,13.89,276.0,0.55,16.4,85.1,5.0,0.07013,28.7
17.92,5.951,13.89,276.0,0.55,16.4,93.8,5.0,0.11069,21.5
10.5,6.373,13.89,276.0,0.55,16.4,92.4,5.0,0.11425,23.0
9.71,6.951,6.2,307.0,0.507,17.4,88.5,8.0,0.35809,26.7
21.46,6.164,6.2,307.0,0.507,17.4,91.3,8.0,0.40771,21.7
9.93,6.879,6.2,307.0,0.507,17.4,77.7,8.0,0.62356,27.5
7.6,6.618,6.2,307.0,0.507,17.4,80.8,8.0,0.6147,30.1
4.14,8.266,6.2,307.0,0.504,17.4,78.3,8.0,0.31533,44.8
3.13,8.04,6.2,307.0,0.504,17.4,86.5,8.0,0.38214,37.6
6.36,7.163,6.2,307.0,0.504,17.4,79.9,8.0,0.41238,31.6
3.92,7.686,6.2,307.0,0.504,17.4,17.0,8.0,0.29819,46.7
3.76,6.552,6.2,307.0,0.504,17.4,21.4,8.0,0.44178,31.5
11.65,5.981,6.2,307.0,0.504,17.4,68.1,8.0,0.537,24.3
5.25,7.412,6.2,307.0,0.504,17.4,76.9,8.0,0.46296,31.7
2.47,8.337,6.2,307.0,0.507,17.4,73.3,8.0,0.57529,41.7
3.95,8.247,6.2,307.0,0.507,17.4,70.4,8.0,0.33147,48.3
8.05,6.726,6.2,307.0,0.507,17.4,66.5,8.0,0.44791,29.0
10.88,6.086,6.2,307.0,0.507,17.4,61.5,8.0,0.33045,24.0
9.54,6.631,6.2,307.0,0.507,17.4,76.5,8.0,0.52058,25.1
4.73,7.358,6.2,307.0,0.507,17.4,71.6,8.0,0.51183,31.5
6.36,6.481,4.93,300.0,0.428,16.6,18.5,6.0,0.08244,23.7
7.37,6.606,4.93,300.0,0.428,16.6,42.2,6.0,0.09252,23.3
11.38,6.897,4.93,300.0,0.428,16.6,54.3,6.0,0.11329,22.0
12.4,6.095,4.93,300.0,0.428,16.6,65.1,6.0,0.10612,20.1
11.22,6.358,4.93,300.0,0.428,16.6,52.9,6.0,0.1029,22.2
5.19,6.393,4.93,300.0,0.428,16.6,7.8,6.0,0.12757,23.7
12.5,5.593,5.86,330.0,0.431,19.1,76.5,7.0,0.20608,17.6
18.46,5.605,5.86,330.0,0.431,19.1,70.2,7.0,0.19133,18.5
9.16,6.108,5.86,330.0,0.431,19.1,34.9,7.0,0.33983,24.3
10.15,6.226,5.86,330.0,0.431,19.1,79.2,7.0,0.19657,20.5
9.52,6.433,5.86,330.0,0.431,19.1,49.1,7.0,0.16439,24.5
6.56,6.718,5.86,330.0,0.431,19.1,17.5,7.0,0.19073,26.2
5.9,6.487,5.86,330.0,0.431,19.1,13.0,7.0,0.1403,24.4
3.59,6.438,5.86,330.0,0.431,19.1,8.9,7.0,0.21409,24.8
3.53,6.957,5.86,330.0,0.431,19.1,6.8,7.0,0.08221,29.6
3.54,8.259,5.86,330.0,0.431,19.1,8.4,7.0,0.36894,42.8
6.57,6.108,3.64,315.0,0.392,16.4,32.0,1.0,0.04819,21.9
9.25,5.876,3.64,315.0,0.392,16.4,19.1,1.0,0.03548,20.9
3.11,7.454,3.75,244.0,0.394,15.9,34.2,3.0,0.01538,44.0
7.79,7.333,3.97,264.0,0.647,13.0,100.0,5.0,0.66351,36.0
6.9,6.842,3.97,264.0,0.647,13.0,100.0,5.0,0.65665,30.1
9.59,7.203,3.97,264.0,0.647,13.0,81.8,5.0,0.54011,33.8
7.26,7.52,3.97,264.0,0.647,13.0,89.4,5.0,0.53412,43.1
5.91,8.398,3.97,264.0,0.647,13.0,91.5,5.0,0.52014,48.8
11.25,7.327,3.97,264.0,0.647,13.0,94.5,5.0,0.82526,31.0
8.1,7.206,3.97,264.0,0.647,13.0,91.6,5.0,0.55007,36.5
10.45,5.56,3.97,264.0,0.647,13.0,62.8,5.0,0.76162,22.8
14.79,7.014,3.97,264.0,0.647,13.0,84.6,5.0,0.7857,30.7
3.16,7.47,3.97,264.0,0.575,13.0,52.6,5.0,0.5405,43.5
13.65,5.92,6.96,223.0,0.464,18.6,61.5,3.0,0.09065,20.7
13.0,5.856,6.96,223.0,0.464,18.6,42.1,3.0,0.29916,21.1
6.59,6.24,6.96,223.0,0.464,18.6,16.3,3.0,0.16211,25.2
7.73,6.538,6.96,223.0,0.464,18.6,58.7,3.0,0.1146,24.4
6.58,7.691,6.96,223.0,0.464,18.6,51.8,3.0,0.22188,35.2
3.53,6.758,6.41,254.0,0.447,17.6,32.9,4.0,0.05644,32.4
2.98,6.854,6.41,254.0,0.447,17.6,42.8,4.0,0.09604,32.0
6.05,7.267,6.41,254.0,0.447,17.6,49.0,4.0,0.10469,33.2
4.16,6.826,6.41,254.0,0.447,17.6,27.6,4.0,0.06127,33.1
7.19,6.482,6.41,254.0,0.447,17.6,32.1,4.0,0.07978,29.1
4.85,6.812,3.33,216.0,0.4429,14.9,32.2,5.0,0.21038,35.1
3.76,7.82,3.33,216.0,0.4429,14.9,64.5,5.0,0.03578,45.4
4.59,6.968,3.33,216.0,0.4429,14.9,37.2,5.0,0.03705,35.4
3.01,7.645,3.33,216.0,0.4429,14.9,49.7,5.0,0.06129,46.0
7.85,7.088,2.97,285.0,0.4,15.3,20.8,1.0,0.00906,32.2
8.23,6.453,2.25,300.0,0.389,15.3,31.9,1.0,0.01096,22.0
12.93,6.23,1.76,241.0,0.385,18.2,31.5,1.0,0.01965,20.1
7.14,6.209,5.32,293.0,0.405,16.6,31.3,6.0,0.03871,23.2
7.6,6.315,5.32,293.0,0.405,16.6,45.6,6.0,0.0459,22.3
9.51,6.565,5.32,293.0,0.405,16.6,22.9,6.0,0.04297,24.8
3.33,6.861,4.95,245.0,0.411,19.2,27.9,4.0,0.03502,28.5
3.56,7.148,4.95,245.0,0.411,19.2,27.7,4.0,0.07886,37.3
4.7,6.63,4.95,245.0,0.411,19.2,23.4,4.0,0.03615,27.9
8.58,6.127,13.92,289.0,0.437,16.0,18.4,4.0,0.08265,23.9
10.4,6.009,13.92,289.0,0.437,16.0,42.3,4.0,0.08199,21.7
6.27,6.678,13.92,289.0,0.437,16.0,31.1,4.0,0.12932,28.6
7.39,6.549,13.92,289.0,0.437,16.0,51.0,4.0,0.05372,27.1
15.84,5.79,13.92,289.0,0.437,16.0,58.0,4.0,0.14103,20.3
4.97,6.345,2.24,358.0,0.4,14.8,20.1,5.0,0.06466,22.5
4.74,7.041,2.24,358.0,0.4,14.8,10.0,5.0,0.05561,29.0
6.07,6.871,2.24,358.0,0.4,14.8,47.4,5.0,0.04417,24.8
9.5,6.59,6.09,329.0,0.433,16.1,40.4,7.0,0.03537,22.0
8.67,6.495,6.09,329.0,0.433,16.1,18.4,7.0,0.09266,26.4
4.86,6.982,6.09,329.0,0.433,16.1,17.7,7.0,0.1,33.1
6.93,7.236,2.18,222.0,0.472,18.4,41.1,7.0,0.05515,36.1
8.93,6.616,2.18,222.0,0.472,18.4,58.1,7.0,0.05479,28.4
6.47,7.42,2.18,222.0,0.472,18.4,71.9,7.0,0.07503,33.4
7.53,6.849,2.18,222.0,0.472,18.4,70.3,7.0,0.04932,28.2
4.54,6.635,9.9,304.0,0.544,18.4,82.5,4.0,0.49298,22.8
9.97,5.972,9.9,304.0,0.544,18.4,76.7,4.0,0.3494,20.3
12.64,4.973,9.9,304.0,0.544,18.4,37.8,4.0,2.63548,16.1
5.98,6.122,9.9,304.0,0.544,18.4,52.8,4.0,0.79041,22.1
11.72,6.023,9.9,304.0,0.544,18.4,90.4,4.0,0.26169,19.4
7.9,6.266,9.9,304.0,0.544,18.4,82.8,4.0,0.26938,21.6
9.28,6.567,9.9,304.0,0.544,18.4,87.3,4.0,0.3692,23.8
11.5,5.705,9.9,304.0,0.544,18.4,77.7,4.0,0.25356,16.2
18.33,5.914,9.9,304.0,0.544,18.4,83.2,4.0,0.31827,17.8
15.94,5.782,9.9,304.0,0.544,18.4,71.7,4.0,0.24522,19.8
10.36,6.382,9.9,304.0,0.544,18.4,67.2,4.0,0.40202,23.1
12.73,6.113,9.9,304.0,0.544,18.4,58.8,4.0,0.47547,21.0
7.2,6.426,7.38,287.0,0.493,19.6,52.3,5.0,0.1676,23.8
6.87,6.376,7.38,287.0,0.493,19.6,54.3,5.0,0.18159,23.1
7.7,6.041,7.38,287.0,0.493,19.6,49.9,5.0,0.35114,20.4
11.74,5.708,7.38,287.0,0.493,19.6,74.3,5.0,0.28392,18.5
6.12,6.415,7.38,287.0,0.493,19.6,40.1,5.0,0.34109,25.0
5.08,6.431,7.38,287.0,0.493,19.6,14.7,5.0,0.19186,24.6
6.15,6.312,7.38,287.0,0.493,19.6,28.9,5.0,0.30347,23.0
12.79,6.083,7.38,287.0,0.493,19.6,43.7,5.0,0.24103,22.2
9.97,5.868,3.24,430.0,0.46,16.9,25.8,4.0,0.06617,19.3
7.34,6.333,3.24,430.0,0.46,16.9,17.2,4.0,0.06724,22.6
9.09,6.144,3.24,430.0,0.46,16.9,32.2,4.0,0.04544,19.8
12.43,5.706,6.06,304.0,0.4379,16.9,28.4,1.0,0.05023,17.1
7.83,6.031,6.06,304.0,0.4379,16.9,23.3,1.0,0.03466,19.4
5.68,6.316,5.19,224.0,0.515,20.2,38.1,5.0,0.05083,22.2
6.75,6.31,5.19,224.0,0.515,20.2,38.5,5.0,0.03738,20.7
8.01,6.037,5.19,224.0,0.515,20.2,34.5,5.0,0.03961,21.1
9.8,5.869,5.19,224.0,0.515,20.2,46.3,5.0,0.03427,19.5
10.56,5.895,5.19,224.0,0.515,20.2,59.6,5.0,0.03041,18.5
8.51,6.059,5.19,224.0,0.515,20.2,37.3,5.0,0.03306,20.6
9.74,5.985,5.19,224.0,0.515,20.2,45.4,5.0,0.05497,19.0
9.29,5.968,5.19,224.0,0.515,20.2,58.5,5.0,0.06151,18.7
5.49,7.241,1.52,284.0,0.442,15.5,49.3,1.0,0.01301,32.7
8.65,6.54,1.89,422.0,0.518,15.9,59.7,1.0,0.02498,16.5
7.18,6.696,3.78,370.0,0.484,17.6,56.4,5.0,0.02543,23.9
4.61,6.874,3.78,370.0,0.484,17.6,28.1,5.0,0.03049,31.2
10.53,6.014,4.39,352.0,0.442,18.8,48.5,3.0,0.03113,17.5
12.67,5.898,4.39,352.0,0.442,18.8,52.3,3.0,0.06162,17.2
6.36,6.516,4.15,351.0,0.429,17.9,27.7,4.0,0.0187,23.1
5.99,6.635,2.01,280.0,0.435,17.0,29.7,4.0,0.01501,24.5
5.89,6.939,1.25,335.0,0.429,19.7,34.5,1.0,0.02899,26.6
